,class
7868fbf8-1d69-4592-961a-4a79c2ef57a5,Other
7887decb-9f16-4590-8941-e3ef57d6ee00,Farm
789407bb-487e-460e-9757-24799cf4945a,Field
789cd3a6-cbb3-41d4-ad42-525372fff35f,Field
78a98f45-6e51-4559-a867-b497554dc462,Farm
78cfd0ad-8538-4a2a-b8a6-69f7fef72945,Farm
78d2ccea-4f82-42f0-9b0f-47000a4faec2,Farm
78e18c2e-7f43-40b7-a67b-2b54bcf5e71e,Farm
78e80a9e-5d09-4698-80f6-3001bb0e5803,Field
790dc966-690a-426c-b79e-9b4801e0fa6e,Tree
793cc875-2657-4665-ad2f-b98f93b309bd,Farm
79465379-48c7-479c-85d0-4db6476e404a,Field
794c72dc-e60b-4a41-9a8f-f8af4445eb7f,Field
7954b6f5-9456-4d32-a3ad-318b7ef2a1a5,Farm
79c1ef96-3b73-4989-b1e1-8cd7d3a7e0fe,Farm
79d84286-3e91-42f6-8dcf-d06e5809d54f,Tree
79db9de7-0e9e-4946-9d2d-3460c37fe7de,Farm
79f67237-ad6f-4312-a610-1740dffb6b13,Field
79ff4c7a-79fe-4b28-b025-d87820e0bdfb,Field
7a0722b0-bc9f-4b2d-8c1f-5dd5300c300b,Farm
7a33f3a9-713f-49fe-9696-ccba7698251e,Field
7a47878e-8338-4b2b-bcbd-88a11c42613b,Farm
7a8544d6-b0b3-43a4-87e9-3219dc42a927,Farm
7a9b6ad7-c60b-4249-96c9-6da73d36e83d,Field
7abfc123-e891-4874-ab04-83425859d044,Farm
7adf8dbd-e0d6-45f9-a67a-ed2160e64d68,Farm
7aeb7a4d-4cdf-436c-9ef4-cfb37c5f065a,Farm
7af07ec4-6226-4486-a5a3-5056c105b3ce,Field
7af1a527-6257-4e93-bdbc-c1306788867d,Field
7b1b5f1e-da73-4592-a768-45d8fd2afd71,Farm
7b5f29bd-760b-4df0-8cfc-ad9d543b0696,Field
7b787a3a-2f5d-4a13-a2b8-35137a817a3b,Farm
7b8229cb-19a4-4d2b-9c0c-67db96d905cc,Field
7b86907a-9429-4dff-a87a-025f0a90c9e6,Field
7b90a739-093b-4ffc-ba9c-c0aaf0df332b,Farm
7ba5319e-74d1-4c57-af82-025ebf039217,Field
7bc21ea0-a66a-46fd-a35f-991e3a4b6ab4,Farm
7bc47fb3-9807-4272-af97-71503bac4c3c,Field
7bd2320c-49e0-4f77-b64d-8b401d369d62,Farm
7bfd047e-daf3-4104-9ad3-5883b44ea137,Farm
7c82e097-eb6f-4c8c-8e95-ee7d8789de0c,Farm
7c9e2f0f-446b-4e4f-b7aa-0a5e14d8af2a,Field
7ca26902-60f2-4da9-a206-1e99a8917d04,Farm
7caa0fc7-7f2f-44fe-85e5-8b5221ffa9bd,Farm
7ce54057-64e4-40e1-b490-4e637b4f4d4b,Farm
7cf4d003-c9c7-4733-a77a-2d9c7543598a,Field
7d305d8a-3aad-4ba0-bbf3-92e24f5db551,Other
7d30f935-ca78-441a-9c76-47e946957997,Field
7d50eb56-20ac-4902-9044-724b7fd629cd,Field
7d56fd58-7575-438f-886a-bd8ea4b02f92,Farm
7d827fb9-84ab-424f-9bb4-b4cd1e5b7743,Farm
7d9130b5-f145-480c-9221-900061784c52,Other
7d9847eb-8ffe-4007-bb09-be80d8381d47,Field
7da215a6-319f-4030-b95e-4a13af5b38e7,Field
