uuid,year,high_ndmi_days
00073cc1-4546-40f9-bc97-61578992bffc,2024,0
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2020,20
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2023,0
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2024,360
008fd9c9-ddf7-4836-8044-6a4ea6739475,2020,355
008fd9c9-ddf7-4836-8044-6a4ea6739475,2021,360
008fd9c9-ddf7-4836-8044-6a4ea6739475,2022,40
008fd9c9-ddf7-4836-8044-6a4ea6739475,2023,0
008fd9c9-ddf7-4836-8044-6a4ea6739475,2024,335
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2020,5
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2021,10
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2024,5
00f95916-99e0-4357-bb6c-bdc471c175e3,2021,5
00f95916-99e0-4357-bb6c-bdc471c175e3,2022,0
01061601-2fcf-4c0d-ac80-7a60ae69acb0,2020,315
01061601-2fcf-4c0d-ac80-7a60ae69acb0,2021,345
01061601-2fcf-4c0d-ac80-7a60ae69acb0,2022,10
01061601-2fcf-4c0d-ac80-7a60ae69acb0,2023,5
01061601-2fcf-4c0d-ac80-7a60ae69acb0,2024,85
01150146-168c-49ba-afae-9e70e45b24ea,2023,20
01150146-168c-49ba-afae-9e70e45b24ea,2024,0
0141dfb6-98dd-4964-8c89-939eb60d0073,2020,0
0141dfb6-98dd-4964-8c89-939eb60d0073,2024,5
0177a187-3cd3-48ca-8876-34e1400948e9,2020,10
0177a187-3cd3-48ca-8876-34e1400948e9,2021,0
0177a187-3cd3-48ca-8876-34e1400948e9,2023,20
0177a187-3cd3-48ca-8876-34e1400948e9,2024,15
01d37195-7ac6-41d4-a395-08fe99000252,2023,0
01eb4109-d92c-4c38-bb0a-feba844266ec,2023,15
01eb4109-d92c-4c38-bb0a-feba844266ec,2024,355
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2023,20
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2024,0
020a7c2d-7c5d-4bf8-9383-1f5f320a655b,2024,340
020c3106-906b-4aa9-b4e4-4a3cdd79fa64,2020,10
02173661-6e91-4137-92a8-50f78696dc60,2023,10
024955c9-c253-48fc-ba18-a7006786b5fc,2020,5
0255919c-1555-4ecc-b26d-0cc8d18f3164,2021,0
0255919c-1555-4ecc-b26d-0cc8d18f3164,2022,0
027852ae-b1c0-48fa-b42d-3832efa88a86,2020,5
027852ae-b1c0-48fa-b42d-3832efa88a86,2021,0
027852ae-b1c0-48fa-b42d-3832efa88a86,2022,0
027852ae-b1c0-48fa-b42d-3832efa88a86,2023,0
02b2f958-5a08-4269-b5b8-9387742980ca,2020,0
02eb4eaf-c75d-47b9-b6e6-3242ef42ed1a,2020,5
02eb4eaf-c75d-47b9-b6e6-3242ef42ed1a,2024,0
0356bc06-6737-4072-a45c-3c4daf94e792,2023,0
036177c5-4a4a-4a36-9551-57007f83b74b,2023,5
036177c5-4a4a-4a36-9551-57007f83b74b,2024,0
0361a88e-af4a-42c6-af2c-81091a816d6b,2021,0
03742405-58e8-478c-bccb-bf61aef5dd47,2020,10
03742405-58e8-478c-bccb-bf61aef5dd47,2022,5
03742405-58e8-478c-bccb-bf61aef5dd47,2023,20
03742405-58e8-478c-bccb-bf61aef5dd47,2024,5
038af89b-0c35-4964-8233-84258a1a568d,2022,0
038af89b-0c35-4964-8233-84258a1a568d,2023,5
039acfa8-0b3f-455c-a300-90fae889d4dc,2024,10
03e08ae7-01ce-4c5d-9dc0-0a3faa13b249,2024,5
03e9a455-4292-4634-b78c-207517ceae78,2023,15
03fff184-68d2-4c43-bec6-2eda81ec8e93,2020,55
03fff184-68d2-4c43-bec6-2eda81ec8e93,2024,0
04140f87-ae23-46f7-9010-8aa2b1474841,2023,0
04140f87-ae23-46f7-9010-8aa2b1474841,2024,0
043cbe23-d12b-423c-bffb-0aefbcea42cc,2020,20
043cbe23-d12b-423c-bffb-0aefbcea42cc,2021,150
043ea314-e074-43c4-8add-c03f11805b0d,2023,0
044a2db8-70df-42a0-9fd3-83c5b6c82f1c,2023,0
045c2c85-4fb3-4d5d-89b6-fc4a64f2a2bb,2020,0
045e8961-7def-489a-8bd7-72d4da8e6800,2020,0
045e8961-7def-489a-8bd7-72d4da8e6800,2023,5
045e8961-7def-489a-8bd7-72d4da8e6800,2024,355
04ecde85-5828-48f5-8a15-b18a0bc4cc9a,2020,10
04ecde85-5828-48f5-8a15-b18a0bc4cc9a,2021,360
04ecde85-5828-48f5-8a15-b18a0bc4cc9a,2024,5
04edc7a7-40ae-4306-ab96-d8c22ad2e0ab,2023,5
04efba47-08b9-4a81-97fa-99909f8e51b3,2022,5
04fb8a8e-8402-4ff6-b895-31f3b76724f8,2023,10
04fb8a8e-8402-4ff6-b895-31f3b76724f8,2024,0
0527f1aa-3684-40ea-b098-43510db95ee8,2024,0
052ff195-a58d-46ca-8b98-bb4436dd289e,2020,10
052ff195-a58d-46ca-8b98-bb4436dd289e,2021,0
052ff195-a58d-46ca-8b98-bb4436dd289e,2022,5
052ff195-a58d-46ca-8b98-bb4436dd289e,2024,0
05429dcf-dc46-4cbe-be9d-a5eda02056c6,2023,0
0548fcd7-994c-42f1-b6b7-764a9ba36b07,2020,10
0548fcd7-994c-42f1-b6b7-764a9ba36b07,2021,0
0548fcd7-994c-42f1-b6b7-764a9ba36b07,2024,0
054ae5bb-1d0c-485e-bd17-1ba34d359487,2020,0
054ae5bb-1d0c-485e-bd17-1ba34d359487,2021,0
054ae5bb-1d0c-485e-bd17-1ba34d359487,2022,5
054ae5bb-1d0c-485e-bd17-1ba34d359487,2023,360
054ae5bb-1d0c-485e-bd17-1ba34d359487,2024,5
055e5057-75b9-46fa-95dc-ee9f08816482,2021,0
055e5057-75b9-46fa-95dc-ee9f08816482,2022,0
055e5057-75b9-46fa-95dc-ee9f08816482,2024,0
055ebb88-4c1c-4b40-9ff3-b342febc1f20,2024,5
0561d39d-8017-46b0-92c5-920048debd2e,2021,5
0561d39d-8017-46b0-92c5-920048debd2e,2022,5
05724070-51aa-4ea3-b85c-10215479b74e,2023,5
0593e400-ff18-434f-8498-d7d9374579c0,2021,5
0593e400-ff18-434f-8498-d7d9374579c0,2022,5
0593e400-ff18-434f-8498-d7d9374579c0,2023,5
05a76e2a-feef-46d5-a2cb-c22fe546b2eb,2020,5
05a76e2a-feef-46d5-a2cb-c22fe546b2eb,2021,5
05a76e2a-feef-46d5-a2cb-c22fe546b2eb,2022,0
05a76e2a-feef-46d5-a2cb-c22fe546b2eb,2024,0
05b05c56-5915-4967-a5e9-468ad51eae04,2023,0
05b05c56-5915-4967-a5e9-468ad51eae04,2024,5
05c37a7e-bcd9-47bd-8496-0f8f797342e7,2022,0
05c37a7e-bcd9-47bd-8496-0f8f797342e7,2023,5
05c84b5a-5d07-41ab-a420-da4606bfa97e,2023,0
05c84b5a-5d07-41ab-a420-da4606bfa97e,2024,0
060068cf-bf59-4dee-b852-98ee64619984,2021,250
060068cf-bf59-4dee-b852-98ee64619984,2022,10
060068cf-bf59-4dee-b852-98ee64619984,2023,135
060068cf-bf59-4dee-b852-98ee64619984,2024,5
061f0cd4-14be-41f6-a45e-831f706910f5,2021,5
061f0cd4-14be-41f6-a45e-831f706910f5,2022,0
06527fd2-0770-4ba8-9531-915487f6e473,2021,5
0676a7ed-5080-4d2d-bc55-c88efeec45c1,2023,15
069af565-6086-4b6d-9375-75dc960c4fee,2023,0
06a81b6a-c3b3-4650-a432-a3b03b7734a8,2020,15
06a81b6a-c3b3-4650-a432-a3b03b7734a8,2023,5
06a81b6a-c3b3-4650-a432-a3b03b7734a8,2024,5
06cd4290-8e0c-4b18-a8df-5c83cf42319c,2023,15
06cd4290-8e0c-4b18-a8df-5c83cf42319c,2024,5
06f41797-7d4a-4c25-a2e1-98ae5641c5d1,2023,55
06f41797-7d4a-4c25-a2e1-98ae5641c5d1,2024,0
06fa91f0-f998-4950-afdb-778442065cd8,2024,260
06fcfc6e-f2b4-4a20-b134-d7c94d3d8d52,2020,345
06fcfc6e-f2b4-4a20-b134-d7c94d3d8d52,2021,10
06fcfc6e-f2b4-4a20-b134-d7c94d3d8d52,2022,10
06fcfc6e-f2b4-4a20-b134-d7c94d3d8d52,2023,25
06fcfc6e-f2b4-4a20-b134-d7c94d3d8d52,2024,355
070e8da0-848d-476d-ab98-6787b8d86fc3,2024,0
07387c15-ead6-41ee-a776-44b97d68e232,2024,0
07469a42-13a3-40aa-8a4a-1d0275b5bde1,2021,5
07519ae0-dd6a-41f3-b4ee-7fc58641b154,2023,20
07519ae0-dd6a-41f3-b4ee-7fc58641b154,2024,5
0759a481-af5a-4135-93e2-a1de98506d15,2023,0
0759a481-af5a-4135-93e2-a1de98506d15,2024,5
075dfef6-93c6-447c-aae2-5d99a97d8e72,2020,5
075dfef6-93c6-447c-aae2-5d99a97d8e72,2023,10
075dfef6-93c6-447c-aae2-5d99a97d8e72,2024,0
076424b4-4bb1-4a44-8fb2-3aba4614b885,2024,360
07683c38-65d8-4848-aba8-e2873d47e3d9,2024,10
0772e353-b6d4-43ce-af39-9f50b39878d4,2020,0
0772e353-b6d4-43ce-af39-9f50b39878d4,2021,20
0772e353-b6d4-43ce-af39-9f50b39878d4,2023,5
07b35f02-d0f9-49d8-b698-fa4b51eef698,2020,0
07b35f02-d0f9-49d8-b698-fa4b51eef698,2021,0
07b35f02-d0f9-49d8-b698-fa4b51eef698,2022,0
07b35f02-d0f9-49d8-b698-fa4b51eef698,2023,10
07b938ac-4da5-4298-b942-c5dfceb84a08,2021,0
07b938ac-4da5-4298-b942-c5dfceb84a08,2022,0
07b938ac-4da5-4298-b942-c5dfceb84a08,2024,0
07df8b1e-7851-4519-be45-c44eaf0db7e3,2023,10
07df8b1e-7851-4519-be45-c44eaf0db7e3,2024,5
07e244c9-e38b-4860-9b4c-38f1dd6c322c,2020,10
07e244c9-e38b-4860-9b4c-38f1dd6c322c,2021,0
07e244c9-e38b-4860-9b4c-38f1dd6c322c,2023,5
07e244c9-e38b-4860-9b4c-38f1dd6c322c,2024,0
07e3908e-be54-474e-8059-734f486751d6,2020,225
07e3908e-be54-474e-8059-734f486751d6,2021,360
07e3908e-be54-474e-8059-734f486751d6,2022,360
07e3908e-be54-474e-8059-734f486751d6,2023,350
07e3908e-be54-474e-8059-734f486751d6,2024,10
07f09c21-a179-49a1-8eb9-1c9f957387d8,2020,0
07f09c21-a179-49a1-8eb9-1c9f957387d8,2024,0
080b6926-f107-409e-89f8-29c588e58416,2020,0
080b6926-f107-409e-89f8-29c588e58416,2022,0
080b6926-f107-409e-89f8-29c588e58416,2023,10
080b6926-f107-409e-89f8-29c588e58416,2024,0
080bc713-d184-479d-874a-9bfd46c4810d,2020,0
081278f7-5a3a-4ce4-a7cc-317932897926,2021,5
081278f7-5a3a-4ce4-a7cc-317932897926,2022,360
081278f7-5a3a-4ce4-a7cc-317932897926,2023,10
0824f5c8-214c-403b-8651-d3f92c5c6ab0,2023,10
0824f5c8-214c-403b-8651-d3f92c5c6ab0,2024,5
08307cbf-a86d-4187-bedb-69082d1f5175,2020,5
08307cbf-a86d-4187-bedb-69082d1f5175,2021,5
08307cbf-a86d-4187-bedb-69082d1f5175,2022,5
08307cbf-a86d-4187-bedb-69082d1f5175,2023,5
08307cbf-a86d-4187-bedb-69082d1f5175,2024,355
0836aba2-f6bb-4336-afca-ee523914c2ef,2023,10
0836aba2-f6bb-4336-afca-ee523914c2ef,2024,360
