uuid,ndvi_peak_date,ndvi_peak_value,peak_position
00073cc1-4546-40f9-bc97-61578992bffc,2020-05-23,0.786213151927439,1
00073cc1-4546-40f9-bc97-61578992bffc,2021-01-03,0.6842834467120206,1
00073cc1-4546-40f9-bc97-61578992bffc,2021-05-03,0.5826269841269853,2
00073cc1-4546-40f9-bc97-61578992bffc,2022-01-08,0.7374875283446758,1
00073cc1-4546-40f9-bc97-61578992bffc,2023-01-13,0.445997732426305,1
00073cc1-4546-40f9-bc97-61578992bffc,2023-12-14,0.7088707482993197,2
00091cc7-2062-4a82-a958-43ec5464efec,2021-01-18,0.6582834467120199,1
00091cc7-2062-4a82-a958-43ec5464efec,2021-06-02,0.7151870748299342,2
00091cc7-2062-4a82-a958-43ec5464efec,2021-12-24,0.6603378684807275,3
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2021-01-08,0.7605857898715053,1
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2021-04-23,0.5881714285714288,2
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2022-01-03,0.8007573696145129,1
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2023-12-04,0.7005445956160244,1
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2024-05-17,0.56192365835223,1
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2020-03-14,0.6271893424036286,1
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2020-12-19,0.6639195011337892,2
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2021-05-03,0.5906836734693889,1
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2021-12-24,0.7204115646258507,2
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2022-05-08,0.6342290249433128,1
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2022-12-09,0.6187921390778528,2
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2023-05-08,0.5623544973544983,1
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2023-12-09,0.6654013605442178,2
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2024-03-18,0.6550907029478467,1
0048e835-670c-4c65-a773-220951eb85fe,2020-11-29,0.472399092970522,1
0048e835-670c-4c65-a773-220951eb85fe,2021-12-29,0.4609886621315197,1
0048e835-670c-4c65-a773-220951eb85fe,2024-01-08,0.5512018140589587,1
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2020-12-19,0.6647074829931958,1
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2022-01-13,0.7206122448979604,1
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2023-01-13,0.5445755102040811,1
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2024-01-08,0.8193493953136826,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2020-12-14,0.8920839002267568,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2021-05-08,0.708891156462584,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2022-01-03,0.8950612244897963,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2023-01-08,0.7265963718820861,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2023-04-18,0.7257267573696143,2
008fd9c9-ddf7-4836-8044-6a4ea6739475,2023-11-24,0.8272970521541982,3
008fd9c9-ddf7-4836-8044-6a4ea6739475,2024-02-02,0.8932222222222228,1
008fd9c9-ddf7-4836-8044-6a4ea6739475,2024-06-11,0.8665736961451284,2
0097a4ee-ec25-446b-8a60-808e64e86213,2020-12-14,0.6382471655328815,1
0097a4ee-ec25-446b-8a60-808e64e86213,2021-12-29,0.5732925170068034,1
0097a4ee-ec25-446b-8a60-808e64e86213,2024-01-08,0.6349875283446734,1
0097a4ee-ec25-446b-8a60-808e64e86213,2024-04-22,0.6018707482993207,2
009da00f-4adf-466d-b6d1-80ac175d3d21,2020-05-03,0.7490158730158734,1
009da00f-4adf-466d-b6d1-80ac175d3d21,2021-05-08,0.6790929705215425,1
009da00f-4adf-466d-b6d1-80ac175d3d21,2022-01-03,0.6582244897959175,1
009da00f-4adf-466d-b6d1-80ac175d3d21,2022-12-09,0.5099319727891157,2
009da00f-4adf-466d-b6d1-80ac175d3d21,2024-01-23,0.8330113378684819,1
009f8ae6-ecd8-4f53-a134-036253824687,2020-05-18,0.5714104308390043,1
009f8ae6-ecd8-4f53-a134-036253824687,2021-01-03,0.7589092970521548,1
009f8ae6-ecd8-4f53-a134-036253824687,2021-05-03,0.5649047619047615,2
009f8ae6-ecd8-4f53-a134-036253824687,2022-01-03,0.7498004535147427,1
009f8ae6-ecd8-4f53-a134-036253824687,2022-05-23,0.4347063492063496,2
009f8ae6-ecd8-4f53-a134-036253824687,2022-12-24,0.56415419501134,3
009f8ae6-ecd8-4f53-a134-036253824687,2023-06-02,0.43751814058957095,1
009f8ae6-ecd8-4f53-a134-036253824687,2023-12-09,0.6560037792894925,2
009f8ae6-ecd8-4f53-a134-036253824687,2024-05-22,0.4822902494331073,1
009f8ae6-ecd8-4f53-a134-036253824687,2024-12-18,0.5556011904761906,2
