ndvi_peak_year,ndvi_peak_month,ndvi_peaks_per_month
2020,Jan,73
2020,Feb,157
2020,Mar,319
2020,Apr,484
2020,May,2082
2020,Jun,46
2020,Juy,32
2020,Aug,153
2020,Sep,10
2020,Oct,3
2020,Nov,541
2020,Dec,3813
2021,Jan,809
2021,Feb,162
2021,Mar,53
2021,Apr,346
2021,May,1319
2021,Jun,226
2021,Juy,33
2021,Aug,167
2021,Sep,9
2021,Oct,15
2021,Nov,28
2021,Dec,3685
2022,Jan,1308
2022,Feb,56
2022,Mar,54
2022,Apr,382
2022,May,925
2022,Jun,47
2022,Juy,31
2022,Aug,213
2022,Sep,32
2022,Oct,24
2022,Nov,58
2022,Dec,1590
2023,Jan,1277
2023,Feb,11
2023,Mar,10
2023,Apr,236
2023,May,474
2023,Jun,684
2023,Juy,95
2023,Aug,153
2023,Sep,68
2023,Oct,13
2023,Nov,224
2023,Dec,2658
2024,Jan,1624
2024,Feb,261
2024,Mar,226
2024,Apr,1744
2024,May,1618
2024,Jun,281
2024,Juy,27
2024,Aug,199
2024,Sep,168
2024,Oct,31
2024,Nov,79
2024,Dec,661
