uuid,year,high_ndmi_days
0ce71790-2ae8-4506-b344-b672e4e65cf6,2022,0
0ce71790-2ae8-4506-b344-b672e4e65cf6,2023,0
0e1eaf74-0ac9-4888-aae3-7b31d62a7d06,2023,0
0e1eaf74-0ac9-4888-aae3-7b31d62a7d06,2024,50
1c4f1531-4654-425b-b3ad-f8d2d563ae9a,2020,255
1c4f1531-4654-425b-b3ad-f8d2d563ae9a,2024,135
1cd26a0e-aed8-4452-a875-b6d6d6557d24,2024,0
2593a0c0-12f3-4b89-ac94-de5b1dc30095,2020,20
2593a0c0-12f3-4b89-ac94-de5b1dc30095,2022,10
2593a0c0-12f3-4b89-ac94-de5b1dc30095,2023,15
2593a0c0-12f3-4b89-ac94-de5b1dc30095,2024,335
2671c330-5eb6-487e-82eb-03076e3bbd1a,2024,5
2abb5e71-6cff-4c6d-8bbc-49a922468b0b,2020,15
2abb5e71-6cff-4c6d-8bbc-49a922468b0b,2024,140
327c7511-665a-4822-8887-7067ffe55ec5,2020,165
327c7511-665a-4822-8887-7067ffe55ec5,2021,170
327c7511-665a-4822-8887-7067ffe55ec5,2022,15
327c7511-665a-4822-8887-7067ffe55ec5,2023,20
327c7511-665a-4822-8887-7067ffe55ec5,2024,360
39b61904-a1d8-4f01-b171-b10dc19c0c60,2023,5
4212dd15-5073-4b92-8506-926264211b5a,2023,0
4212dd15-5073-4b92-8506-926264211b5a,2024,0
45d8a13f-1170-4ea3-ab22-4438e34ab407,2020,360
45d8a13f-1170-4ea3-ab22-4438e34ab407,2021,360
45d8a13f-1170-4ea3-ab22-4438e34ab407,2022,360
45d8a13f-1170-4ea3-ab22-4438e34ab407,2023,265
45d8a13f-1170-4ea3-ab22-4438e34ab407,2024,220
48022dfd-6783-47ea-b0ca-f54035b248d7,2024,5
4d6ac5eb-ebe6-4787-837c-ac9c32d34b60,2020,315
4d6ac5eb-ebe6-4787-837c-ac9c32d34b60,2024,220
58f76371-ca6f-49a8-aa1f-c9e7cdbb021f,2023,10
58f76371-ca6f-49a8-aa1f-c9e7cdbb021f,2024,60
5aacc2f5-f2f0-469f-afba-d28da59511bc,2020,0
5bec763f-8783-486f-8946-05f905a248a8,2020,70
6159be33-0d1c-486f-b1dc-babb8fec645b,2020,160
6159be33-0d1c-486f-b1dc-babb8fec645b,2021,140
6159be33-0d1c-486f-b1dc-babb8fec645b,2022,35
6159be33-0d1c-486f-b1dc-babb8fec645b,2023,175
6159be33-0d1c-486f-b1dc-babb8fec645b,2024,200
6963c302-1a9f-4037-a29c-ecf236ea4b77,2023,0
74b013c3-affe-4b48-990c-4b318180807b,2020,75
7d978b6c-25e0-40d8-b959-effea57b8da8,2023,15
800748ca-d390-46ac-a15e-b13fcd21a0ac,2023,0
80c046df-c21b-4def-8d48-cb435c091a6a,2020,90
80c046df-c21b-4def-8d48-cb435c091a6a,2021,65
80c046df-c21b-4def-8d48-cb435c091a6a,2022,5
80c046df-c21b-4def-8d48-cb435c091a6a,2023,45
80c046df-c21b-4def-8d48-cb435c091a6a,2024,170
9c601f55-8afa-4ad5-98f0-17b545f94964,2024,0
a3605da8-0173-4228-ac2f-60f1303f0b2a,2024,210
a933f42e-e778-465f-8b1b-071eb1a7c066,2023,10
b1f8c93c-6423-4229-85b7-120e15af8b0a,2020,30
b1fa8f6a-f188-44bb-8d7e-26a59e4dbcb5,2024,0
bd13626d-9ed3-4fa8-b81e-94d4f2219ab9,2020,70
bd13626d-9ed3-4fa8-b81e-94d4f2219ab9,2024,50
bee25fef-09c3-4871-85e5-9f555c12d00e,2020,305
bfc5d761-3cae-4b7c-8dc8-0346276e1974,2020,105
bfc5d761-3cae-4b7c-8dc8-0346276e1974,2021,280
bfc5d761-3cae-4b7c-8dc8-0346276e1974,2022,10
bfc5d761-3cae-4b7c-8dc8-0346276e1974,2024,160
c126a768-302a-43cb-88a1-d6971bdb4448,2020,0
c4d6411e-18ec-4501-a403-2836bd7d14cc,2023,0
c4d6411e-18ec-4501-a403-2836bd7d14cc,2024,0
cd69aa7e-6b8c-4ab8-b294-ed886d180124,2020,335
cd69aa7e-6b8c-4ab8-b294-ed886d180124,2021,285
cd69aa7e-6b8c-4ab8-b294-ed886d180124,2024,135
d3583578-f8d5-423f-858a-e9e372441c50,2023,10
f631e7d0-65ca-4226-8750-8e2db309864f,2020,345
f631e7d0-65ca-4226-8750-8e2db309864f,2021,285
f631e7d0-65ca-4226-8750-8e2db309864f,2024,125
