ndvi_peak_year,ndvi_peak_month,ndvi_peaks_per_month
2020,Jan,302
2020,Feb,295
2020,Mar,12
2020,Apr,107
2020,May,1302
2020,Jun,354
2020,Juy,1127
2020,Aug,659
2020,Sep,517
2020,Oct,57
2020,Nov,577
2020,Dec,243
2021,Jan,41
2021,Feb,51
2021,Mar,102
2021,Apr,16
2021,May,796
2021,Jun,255
2021,Juy,126
2021,Aug,1802
2021,Sep,453
2021,Oct,733
2021,Nov,104
2021,Dec,66
2022,Jan,151
2022,Feb,41
2022,Mar,56
2022,Apr,37
2022,May,191
2022,Jun,96
2022,Juy,35
2022,Aug,112
2022,Sep,2227
2022,Oct,667
2022,Nov,132
2022,Dec,264
2023,Jan,139
2023,Feb,27
2023,Mar,8
2023,Apr,60
2023,May,2131
2023,Jun,217
2023,Juy,655
2023,Aug,108
2023,Sep,85
2023,Oct,48
2023,Nov,453
2023,Dec,2400
2024,Jan,396
2024,Feb,181
2024,Mar,50
2024,Apr,90
2024,May,1290
2024,Jun,681
2024,Juy,462
2024,Aug,815
2024,Sep,318
2024,Oct,42
2024,Nov,101
2024,Dec,101
