uuid,year,high_ndmi_days
00152163-1574-4332-8309-52ef4656b855,2021,45
00152163-1574-4332-8309-52ef4656b855,2022,15
00152163-1574-4332-8309-52ef4656b855,2023,20
00152163-1574-4332-8309-52ef4656b855,2024,10
009bf3fd-7370-4fdf-9e79-08d783aa792e,2022,10
009bf3fd-7370-4fdf-9e79-08d783aa792e,2023,25
00af9aff-cb53-4d98-8d82-13a78443dc65,2020,25
00af9aff-cb53-4d98-8d82-13a78443dc65,2021,10
00af9aff-cb53-4d98-8d82-13a78443dc65,2022,35
00af9aff-cb53-4d98-8d82-13a78443dc65,2023,0
00bc2ca9-8347-430e-92a8-2abc1c7ee20b,2021,20
00bc2ca9-8347-430e-92a8-2abc1c7ee20b,2022,10
00c21dfc-ba1e-46d5-bc67-c94b3bb572f7,2020,115
00c21dfc-ba1e-46d5-bc67-c94b3bb572f7,2023,30
00c21dfc-ba1e-46d5-bc67-c94b3bb572f7,2024,100
00cd99e1-5cee-444f-9c6b-643ed30988e3,2021,10
00cd99e1-5cee-444f-9c6b-643ed30988e3,2022,5
00cd99e1-5cee-444f-9c6b-643ed30988e3,2023,20
00cd99e1-5cee-444f-9c6b-643ed30988e3,2024,0
010921eb-dae7-431b-8124-913ccddadb26,2021,10
010921eb-dae7-431b-8124-913ccddadb26,2023,30
010921eb-dae7-431b-8124-913ccddadb26,2024,5
011cc0ae-08db-439b-a16c-9ff2b620095c,2020,25
011cc0ae-08db-439b-a16c-9ff2b620095c,2023,40
011cc0ae-08db-439b-a16c-9ff2b620095c,2024,5
011f4b31-0988-433b-82c5-e700551951c9,2020,20
011f4b31-0988-433b-82c5-e700551951c9,2021,15
011f4b31-0988-433b-82c5-e700551951c9,2022,175
011f4b31-0988-433b-82c5-e700551951c9,2023,230
01451c13-5d3c-44f5-8e47-59aaea60ad65,2020,15
01451c13-5d3c-44f5-8e47-59aaea60ad65,2021,15
01451c13-5d3c-44f5-8e47-59aaea60ad65,2024,20
0192255c-5ae2-452e-8405-11b3d97cce44,2024,0
01a87100-d858-4ed1-9425-a84029b880b0,2020,10
01a87100-d858-4ed1-9425-a84029b880b0,2021,0
01a87100-d858-4ed1-9425-a84029b880b0,2023,10
01f77dfc-e93b-4ad2-a265-552d08d0a15e,2020,15
01f77dfc-e93b-4ad2-a265-552d08d0a15e,2022,25
