ndvi_peak_year,ndvi_peak_month,ndvi_peaks_per_month
2020,Jan,58
2020,Feb,359
2020,Mar,177
2020,Apr,97
2020,May,827
2020,Jun,2916
2020,Juy,2992
2020,Aug,473
2020,Sep,234
2020,Oct,504
2020,Nov,1046
2020,Dec,1210
2021,Jan,44
2021,Feb,7
2021,Mar,7
2021,Apr,55
2021,May,1793
2021,Jun,2060
2021,Juy,2234
2021,Aug,939
2021,Sep,862
2021,Oct,433
2021,Nov,736
2021,Dec,282
2022,Jan,25
2022,Feb,6
2022,Mar,9
2022,Apr,4
2022,May,438
2022,Jun,3804
2022,Juy,2070
2022,Aug,1224
2022,Sep,691
2022,Oct,537
2022,Nov,87
2022,Dec,415
2023,Jan,393
2023,Feb,3
2023,Mar,3
2023,Apr,72
2023,May,3255
2023,Jun,1523
2023,Juy,2063
2023,Aug,930
2023,Sep,66
2023,Oct,819
2023,Nov,597
2023,Dec,2159
2024,Jan,393
2024,Feb,75
2024,Mar,164
2024,Apr,131
2024,May,1185
2024,Jun,2724
2024,Juy,2055
2024,Aug,780
2024,Sep,305
2024,Oct,288
2024,Nov,162
2024,Dec,193
